Path,Total views
/index.html,3512
/pages/tutorials/first_dashboard/index.html,2315
/pages/user_guides/install/index.html,1173
/pages/explanation/why_vizro/index.html,865
/pages/tutorials/explore_components/index.html,854
/pages/user_guides/dashboard/index.html,561
/pages/API_reference/models/index.html,380
/pages/user_guides/graph/index.html,325
/pages/API_reference/vizro/index.html,318
/pages/user_guides/table/index.html,309
/pages/user_guides/run/index.html,287
/pages/user_guides/layouts/index.html,271
/pages/user_guides/custom_charts/index.html,240
/pages/user_guides/pages/index.html,224
/pages/user_guides/custom_components/index.html,215
/pages/user_guides/components/index.html,205
/pages/user_guides/data/index.html,201
/pages/user_guides/navigation/index.html,200
/pages/user_guides/filters/index.html,197
/pages/user_guides/parameters/index.html,169
/pages/user_guides/container/index.html,163
/pages/user_guides/assets/index.html,163
/pages/user_guides/custom_actions/index.html,144
/pages/user_guides/themes/index.html,141
/pages/user_guides/actions/index.html,138
/pages/development/contributing/index.html,134
/pages/user_guides/card_button/index.html,130
/pages/user_guides/selectors/index.html,119
/pages/user_guides/integration/index.html,118
/pages/user_guides/custom_tables/index.html,95
/pages/API_reference/actions/index.html,91